source	line	interface	declared_methods_or_embedded_interfaces
internal/api/metrics/server.go	27	metricsObjectReader	2
internal/api/middleware/middleware.go	19	authenticationPluginManagerInterface	1
internal/api/middleware/middleware.go	218	pluginManagerInterface	1
internal/common/errors.go	16	PublicError	1
internal/core/object_storage_delete.go	36	s3ObjectDeleter	2
internal/core/object_storage_inspect.go	114	s3HeadObjectClient	1
internal/core/object_storage_inventory.go	171	s3ListObjectsV2Client	1
internal/crypto/credential_key_manager.go	21	CredentialKeyManager	3
internal/db/interface.go	12	ServiceInfoStore	1
internal/db/interface.go	17	ObjectStore	18
internal/db/interface.go	38	ObjectIDResourceLister	1
internal/db/interface.go	42	ObjectIDPageLister	2
internal/db/interface.go	47	ObjectChecksumPageLister	1
internal/db/interface.go	51	ObjectURLPageLister	1
internal/db/interface.go	55	ObjectAuthorizedLister	2
internal/db/interface.go	60	FileUsageScopedLister	5
internal/db/interface.go	68	TransferAttributionScopedStore	2
internal/db/interface.go	73	BucketVisibilityLister	1
internal/db/interface.go	78	CredentialStore	8
internal/db/interface.go	90	ObjectsAPIServiceDatabase	4
internal/db/interface.go	98	PendingLFSMetaStore	3
internal/db/interface.go	105	UsageStore	10
internal/db/interface.go	119	SHA256ValidityStore	2
internal/db/interface.go	125	MetricsStore	11
internal/db/interface.go	140	LFSStore	4
internal/db/interface.go	148	DatabaseInterface	5
internal/db/postgres/transfer_reports.go	231	transferRows	3
internal/db/sqlite/transfer_reports.go	240	transferRows	3
internal/repair/types.go	11	IndexAPI	2
internal/repair/types.go	23	BucketsAPI	2
internal/repair/types.go	33	StorageInspector	1
internal/signer/signer.go	28	Signer	5
internal/urlmanager/manager.go	26	bucketInvalidatingSigner	1
internal/urlmanager/urlmanager.go	16	SignedURLManager	3
internal/urlmanager/urlmanager.go	28	MultipartManager	3
internal/urlmanager/urlmanager.go	35	UrlManager	2
internal/urlmanager/urlmanager.go	42	BucketCacheInvalidator	1
