package	production_files	test_files	production_lines	local_production_importers	local_production_imports
internal/api/apiutil	1	0	69	2	2
internal/api/attribution	1	0	229	3	5
internal/api/docs	1	1	226	1	3
internal/api/drsapi	5	2	533	1	8
internal/api/internaldrs	6	11	2585	1	18
internal/api/lfs	4	6	631	1	8
internal/api/metrics	5	3	1203	1	8
internal/api/middleware	12	5	1432	5	8
internal/api/routeutil	1	0	59	2	0
internal/auth	1	1	170	4	0
internal/authz	1	1	210	7	3
internal/common	13	8	864	20	4
internal/config	9	2	828	4	1
internal/core	15	10	5919	6	9
internal/crypto	6	2	544	3	1
internal/db	1	0	154	10	2
internal/db/postgres	15	11	4839	1	7
internal/db/sqlite	15	2	5108	2	7
internal/models	5	2	437	18	2
internal/repair	2	1	699	1	5
internal/signer	1	0	58	5	0
internal/signer/azure	1	1	250	1	3
internal/signer/file	1	1	108	1	1
internal/signer/gcs	1	1	299	1	4
internal/signer/s3	1	1	226	1	3
internal/testutils	2	0	982	0	7
internal/urlmanager	2	2	231	6	5
internal/version	1	0	24	1	0
