method	path	owner
CONNECT	/	mount
DELETE	/	mount
DELETE	/data/buckets/:bucket	internal/buckets
DELETE	/data/buckets/:bucket/scopes	internal/buckets
DELETE	/data/projects/:organization/:project_id	internal/maintenance
DELETE	/ga4gh/drs/v1/objects/:object_id	drs
DELETE	/index	internal/index
DELETE	/index/:id	internal/index
GET	/	mount
GET	/data/buckets	internal/buckets
GET	/data/buckets/:bucket/scopes	internal/buckets
GET	/data/download/:file_id	internal/transfers
GET	/data/download/:file_id/part	internal/transfers
GET	/data/inspect/project-scopes	internal/inspection
GET	/data/upload/:file_id	internal/transfers
GET	/ga4gh/drs/v1/objects/:object_id	drs
GET	/ga4gh/drs/v1/objects/:object_id/access/:access_id	drs
GET	/ga4gh/drs/v1/objects/checksum/:checksum	drs
GET	/ga4gh/drs/v1/service-info	drs
GET	/healthz	health
GET	/index	internal/index
GET	/index/:id	internal/index
GET	/index/openapi-bucket.yaml	docs
GET	/index/openapi-internal.yaml	docs
GET	/index/openapi-lfs.yaml	docs
GET	/index/openapi.yaml	docs
GET	/index/swagger	docs
GET	/index/swagger/	docs
GET	/index/v1/metrics/files	metrics
GET	/index/v1/metrics/files/:object_id	metrics
GET	/index/v1/metrics/summary	metrics
GET	/index/v1/metrics/transfers/breakdown	metrics
GET	/index/v1/metrics/transfers/summary	metrics
HEAD	/	mount
OPTIONS	/	mount
OPTIONS	/ga4gh/drs/v1/objects	drs
OPTIONS	/ga4gh/drs/v1/objects/:object_id	drs
PATCH	/	mount
POST	/	mount
POST	/data/buckets/:bucket/scopes	internal/buckets
POST	/data/inspect	internal/inspection
POST	/data/inspect/bulk	internal/inspection
POST	/data/inspect/bulk-list	internal/inspection
POST	/data/inspect/project-bucket	internal/inspection
POST	/data/inspect/project-bucket/delete	internal/maintenance
POST	/data/inspect/project-bucket/inventory	internal/inspection
POST	/data/inspect/project-records	internal/inspection
POST	/data/inspect/project-scopes	internal/inspection
POST	/data/multipart/complete	internal/transfers
POST	/data/multipart/init	internal/transfers
POST	/data/multipart/upload	internal/transfers
POST	/data/repair/project-scope/apply	internal/repair
POST	/data/repair/project-scope/audit	internal/repair
POST	/data/upload	internal/transfers
POST	/data/upload/bulk	internal/transfers
POST	/ga4gh/drs/v1/objects	drs
POST	/ga4gh/drs/v1/objects/:object_id	drs
POST	/ga4gh/drs/v1/objects/:object_id/access-methods	drs
POST	/ga4gh/drs/v1/objects/:object_id/access/:access_id	drs
POST	/ga4gh/drs/v1/objects/:object_id/delete	drs
POST	/ga4gh/drs/v1/objects/access	drs
POST	/ga4gh/drs/v1/objects/access-methods	drs
POST	/ga4gh/drs/v1/objects/delete	drs
POST	/ga4gh/drs/v1/objects/register	drs
POST	/ga4gh/drs/v1/upload-request	drs
POST	/index	internal/index
POST	/index/:id/controlled-access/remove	internal/index
POST	/index/bulk	internal/index
POST	/index/bulk/delete	internal/index
POST	/index/bulk/documents	internal/index
POST	/index/bulk/hashes	internal/index
POST	/index/bulk/sha256/missing	internal/index
POST	/index/bulk/sha256/validity	internal/index
POST	/index/v1/metrics/files/bulk	metrics
POST	/index/v1/metrics/provider-transfer-events	metrics
POST	/info/lfs/objects/batch	lfs
POST	/info/lfs/objects/metadata	lfs
POST	/info/lfs/verify	lfs
PUT	/	mount
PUT	/data/buckets	internal/buckets
PUT	/ga4gh/drs/v1/objects/:object_id/access-methods	drs
PUT	/ga4gh/drs/v1/objects/:object_id/checksums	drs
PUT	/ga4gh/drs/v1/objects/:object_id/delete	drs
PUT	/ga4gh/drs/v1/objects/access-methods	drs
PUT	/ga4gh/drs/v1/objects/checksums	drs
PUT	/ga4gh/drs/v1/objects/delete	drs
PUT	/index/:id	internal/index
PUT	/index/bulk/overwrite	internal/index
PUT	/info/lfs/objects/:oid	lfs
QUERY	/	mount
TRACE	/	mount
